Sample_ID	Original_ID	Simplified_ID	Treatment	Time_Point (h)	Sex	Replicate	Group	Collection_Date	Collection_Time	Replacement
IL77	T8-CD-F-R2	DMSO_8h_Female_R2	DMSO Control	8	Female	R2	DMSO_8h_Female	[2025-01-24]	17:00 BST	1
IL33	T8-CD-M-R3	DMSO_8h_Male_R3	DMSO Control	8	Male	R3	DMSO_8h_Male	[2025-01-24]	17:00 BST	1
IL78	T8-CD-F-R3	DMSO_8h_Female_R3	DMSO Control	8	Female	R3	DMSO_8h_Female	[2025-01-24]	17:00 BST	1
IL34	T8-C100-M-R1	Phen100_8h_Male_R1	Phenanthrene	8	Male	R1	Phen100_8h_Male	[2025-01-24]	17:00 BST	1
IL79	T8-C100-F-R1	Phen100_8h_Female_R1	Phenanthrene	8	Female	R1	Phen100_8h_Female	[2025-01-24]	17:00 BST	1
IL35	T8-C100-M-R2	Phen100_8h_Male_R2	Phenanthrene	8	Male	R2	Phen100_8h_Male	[2025-01-24]	17:00 BST	1
IL80	T8-C100-F-R2	Phen100_8h_Female_R2	Phenanthrene	8	Female	R2	Phen100_8h_Female	[2025-01-24]	17:00 BST	1
IL102	T8-C100-M-B1	Phen100_8h_Male_B1	Phenanthrene	8	Male	R3	Phen100_8h_Male	[2025-01-24]	17:00 BST	2
IL81	T8-C100-F-R3	Phen100_8h_Female_R3	Phenanthrene	8	Female	R3	Phen100_8h_Female	[2025-01-24]	17:00 BST	1
IL37	T24-C0-M-R1	Ctrl_24h_Male_R1	Seawater Control	24	Male	R1	Control_24h_Male	[2025-01-25]	09:00 BST	1
IL118	T24-C0-F-B1	Ctrl_24h_Female_B1	Seawater Control	24	Female	R1	Control_24h_Female	[2025-01-25]	09:00 BST	2
IL38	T24-C0-M-R2	Ctrl_24h_Male_R2	Seawater Control	24	Male	R2	Control_24h_Male	[2025-01-25]	09:00 BST	1
IL83	T24-C0-F-R2	Ctrl_24h_Female_R2	Seawater Control	24	Female	R2	Control_24h_Female	[2025-01-25]	09:00 BST	1
IL39	T24-C0-M-R3	Ctrl_24h_Male_R3	Seawater Control	24	Male	R3	Control_24h_Male	[2025-01-25]	09:00 BST	1
IL84	T24-C0-F-R3	Ctrl_24h_Female_R3	Seawater Control	24	Female	R3	Control_24h_Female	[2025-01-25]	09:00 BST	1
IL40	T24-CD-M-R1	DMSO_24h_Male_R1	DMSO Control	24	Male	R1	DMSO_24h_Male	[2025-01-25]	09:00 BST	1
IL85	T24-CD-F-R1	DMSO_24h_Female_R1	DMSO Control	24	Female	R1	DMSO_24h_Female	[2025-01-25]	09:00 BST	1
IL104	T24-CD-M-B1	DMSO_24h_Male_B1	DMSO Control	24	Male	R2	DMSO_24h_Male	[2025-01-25]	09:00 BST	2
IL119	T24-CD-F-B1	DMSO_24h_Female_B1	DMSO Control	24	Female	R2	DMSO_24h_Female	[2025-01-25]	09:00 BST	2
IL42	T24-CD-M-R3	DMSO_24h_Male_R3	DMSO Control	24	Male	R3	DMSO_24h_Male	[2025-01-25]	09:00 BST	1
IL87	T24-CD-F-R3	DMSO_24h_Female_R3	DMSO Control	24	Female	R3	DMSO_24h_Female	[2025-01-25]	09:00 BST	1
IL43	T24-C100-M-R1	Phen100_24h_Male_R1	Phenanthrene	24	Male	R1	Phen100_24h_Male	[2025-01-25]	09:00 BST	1
IL88	T24-C100-F-R1	Phen100_24h_Female_R1	Phenanthrene	24	Female	R1	Phen100_24h_Female	[2025-01-25]	09:00 BST	1
IL44	T24-C100-M-R2	Phen100_24h_Male_R2	Phenanthrene	24	Male	R2	Phen100_24h_Male	[2025-01-25]	09:00 BST	1
IL89	T24-C100-F-R2	Phen100_24h_Female_R2	Phenanthrene	24	Female	R2	Phen100_24h_Female	[2025-01-25]	09:00 BST	1
IL45	T24-C100-M-R3	Phen100_24h_Male_R3	Phenanthrene	24	Male	R3	Phen100_24h_Male	[2025-01-25]	09:00 BST	1
IL90	T24-C100-F-R3	Phen100_24h_Female_R3	Phenanthrene	24	Female	R3	Phen100_24h_Female	[2025-01-25]	09:00 BST	1
